Longitude (x),Latitude (y),Station Name,Climate ID,Date/Time,Year,Month,Day,Max Temp (°C),Min Temp (°C),Mean Temp (°C),Total Precip (mm),Snow on Grnd (cm)
-79.4,43.67,TORONTO CITY,6158355,2023-01-28,2023,1,28,2.7,-1.3,0.7,0.2,8
-79.4,43.67,TORONTO CITY,6158355,2023-01-29,2023,1,29,1.3,-5.6,-2.2,4.9,8
-79.4,43.67,TORONTO CITY,6158355,2023-01-30,2023,1,30,-1.1,-7.1,-4.1,0,9
-79.4,43.67,TORONTO CITY,6158355,2023-01-31,2023,1,31,-3.8,-9.7,-6.8,0,8
-79.4,43.67,TORONTO CITY,6158355,2023-02-01,2023,2,1,-3.7,-10.6,-7.1,0,8
-79.4,43.67,TORONTO CITY,6158355,2023-02-02,2023,2,2,2.9,-9.3,-3.2,0,7
-79.4,43.67,TORONTO CITY,6158355,2023-02-03,2023,2,3,-9.3,-20.5,-14.9,0,7
-79.4,43.67,TORONTO CITY,6158355,2023-02-04,2023,2,4,-0.2,-20,-10.1,0.4,8
-79.4,43.67,TORONTO CITY,6158355,2023-02-05,2023,2,5,5.5,-0.3,2.6,0,9
-79.4,43.67,TORONTO CITY,6158355,2023-02-06,2023,2,6,3.3,-2.4,0.5,0,6
-79.4,43.67,TORONTO CITY,6158355,2023-02-07,2023,2,7,8.9,-0.1,4.4,0,5
-79.4,43.67,TORONTO CITY,6158355,2023-02-08,2023,2,8,7.7,2.3,5,0,1
-79.4,43.67,TORONTO CITY,6158355,2023-02-09,2023,2,9,7,2,4.5,28.1,
-79.4,43.67,TORONTO CITY,6158355,2023-02-10,2023,2,10,6.1,-2.3,1.9,0,
-79.4,43.67,TORONTO CITY,6158355,2023-02-11,2023,2,11,2.1,-3.8,-0.8,0,0
-79.4,43.67,TORONTO CITY,6158355,2023-02-12,2023,2,12,7.1,0.1,3.6,0,0
-79.4,43.67,TORONTO CITY,6158355,2023-02-13,2023,2,13,9.8,-0.6,4.6,0,0
-79.4,43.67,TORONTO CITY,6158355,2023-02-14,2023,2,14,8.5,-0.4,4,0,0
-79.4,43.67,TORONTO CITY,6158355,2023-02-15,2023,2,15,15.3,6.2,10.7,0.2,
-79.4,43.67,TORONTO CITY,6158355,2023-02-16,2023,2,16,6.6,-0.2,3.2,4.7,0
-79.4,43.67,TORONTO CITY,6158355,2023-02-17,2023,2,17,1,-7.9,-3.5,5.7,
-79.4,43.67,TORONTO CITY,6158355,2023-02-18,2023,2,18,2.8,-6.9,-2,0,
-79.4,43.67,TORONTO CITY,6158355,2023-02-19,2023,2,19,8.8,2,5.4,0,
-79.4,43.67,TORONTO CITY,6158355,2023-02-20,2023,2,20,6.6,-0.9,2.9,0,
-79.4,43.67,TORONTO CITY,6158355,2023-02-21,2023,2,21,7.1,-1,3.1,0.2,
-79.4,43.67,TORONTO CITY,6158355,2023-02-22,2023,2,22,-0.3,-6.7,-3.5,17.7,
-79.4,43.67,TORONTO CITY,6158355,2023-02-23,2023,2,23,-1,-7.1,-4.1,1,12
-79.4,43.67,TORONTO CITY,6158355,2023-02-24,2023,2,24,-2.2,-9.5,-5.9,0,11
-79.4,43.67,TORONTO CITY,6158355,2023-02-25,2023,2,25,-0.9,-8.2,-4.5,0.9,11
-79.4,43.67,TORONTO CITY,6158355,2023-02-26,2023,2,26,4.2,-3.1,0.6,0,11
-79.4,43.67,TORONTO CITY,6158355,2023-02-27,2023,2,27,0.8,-5.4,-2.3,7.2,7
